"Gift","Telegram floor TON","Telegram floor Stars","Getgems floor TON","Highest Getgems collection offer TON","Offer/Floor %","Active collection offers","Getgems collection"
"Pet Snake","2.97","","3.65","3.4675","95.00","9","Pet Snakes"
"Plush Pepe","4800","","5699","5250","92.12","4","Plush Pepes"
"Pool Float","3.15","","3.429999999","3.51","102.33","10","Pool Floats"
"Precious Peach","242.69","","275","250.25","91.00","4","Precious Peaches"
"Pretty Posy","4.38","","4.93","4.931","100.02","12","Pretty Posies"
"Rare Bird","21.9","","23.99","20.96002","87.37","6","Rare Birds"
"Record Player","10.49","","11.5","11.27001","98.00","5","Record Players"
"Restless Jar","4.2","","4.79","4.5505","95.00","9","Restless Jars"
"Sakura Flower","7.99","","8.7","8.30055","95.41","6","Sakura Flowers"
"Santa Hat","3.33","","3.75","3.53002","94.13","6","Santa Hats"
"Scared Cat","150","","209","408.5","195.45","28","Scared Cats"
"Sharp Tongue","31","","39.8","37.43","94.05","2","Sharp Tongues"
"Signet Ring","30.33","","32.999999999","33","100.00","7","Signet Rings"
"Skull Flower","8.6","","9.98","9.008069999","90.26","4","Skull Flowers"
"Sky Stilettos","16.5","","18.8","18.048","96.00","5","Sky Stilettos"
"Sleigh Bell","5.6","","5.8","5.68401","98.00","6","Sleigh Bells"
"Snake Box","2.87","","3.4","3.25","95.59","7","Snake Boxes"
"Snoop Cigar","12.2","","13.9","25","179.86","16","Snoop Cigars"
"Snoop Dogg","4.64","","4.94","7.5","151.82","17","Snoop Doggs"
"Snow Globe","3.74","","4.25","4.11","96.71","9","Snow Globes"
"Snow Mittens","3.3","","4.47","4.023","90.00","4","Snow Mittens"
"Spiced Wine","3.989999999","","4.45","3.8448208","86.40","5","Spiced Wines"
"Spring Basket","4.75","","5.55","14.5782","262.67","14","Spring Baskets"
"Spy Agaric","4.37","","4.85999","4.6169905","95.00","8","Spy Agarics"
"Star Notepad","3.48","","3.999999","3.54827392","88.71","4","Star Notepads"
"Stellar Rocket","3.92","","4.34","7.5948","175.00","11","Stellar Rockets"
"Surge Board","6","","","12.9642","","10","Surge Boards"
"Swag Bag","4.55","","5","5.14978344","103.00","7","Swag Bags"
"Swiss Watch","43","","47.4","82.62","174.30","21","Swiss Watches"
"Tama Gadget","3.09","","3.6","7.581","210.58","10","Tama Gadgets"
"Timeless Book","3.65","","3.926999874","8.6076","219.19","11","Timeless Books"
"Top Hat","8.745","","9.4","8.7","92.55","5","Top Hats"
"Toy Bear","32","","36.5","62.01","169.89","12","Toy Bears"
"Trapped Heart","12.9","","13.38","12.97861","97.00","5","Trapped Hearts"
"UFC Strike","14","","14.9","14.949","100.33","7","UFC Strikes"
"Valentine Box","9.5","","11","9.98126","90.74","5","Valentine Boxes"
"Vice Cream","2.95","","3.28","5","152.44","10","Vice Creams"
"Victory Medal","3.86","","4.6","15.96","346.96","12","Victory Medals"
"Vintage Cigar","34","","37","35.52","96.00","5","Vintage Cigars"
"Voodoo Doll","34","","34.79","31.71045","91.15","5","Voodoo Dolls"
"Westside Sign","50","","98","67.432299999","68.81","4","Westside Signs"
"Whip Cupcake","2.92","","3.6","3.6504216","101.40","7","Whip Cupcakes"
"Winter Wreath","2.97","","3.57","3.07","85.99","6","Winter Wreaths"
"Witch Hat","4.05","","4.48","7.038","157.10","10","Witch Hats"
"Xmas Stocking","2.84","","3.44","3.1644208","91.99","8","Xmas Stockings"
